South_Dakota_Counties,Democrat,Republican,Others,Year,Voter_turnout_percent
Pennington,7303,9671,1174,1968,
Perkins,869,1498,114,1968,
Potter,780,1273,149,1968,
Roberts,2651,2225,337,1968,
Sanbron,956,1024,80,1968,
Shannon,1202,533,61,1968,
Spink,2669,2068,178,1968,
Stanely,439,572,98,1968,
Sully,356,676,93,1968,
Todd,987,683,91,1968,
Tripp,1362,2242,245,1968,
Turner,1350,3246,205,1968,
Union,2014,2212,225,1968,
Walworth,1276,2204,182,1968,
Washabaugh,203,224,22,1968,
Yankton,2733,3977,382,1968,
Ziebach,350,449,55,1968,
Aurora,1555,871,0,1964,
Beadle,5968,4051,0,1964,
Bennett,775,624,0,1964,
Bon Homme,2494,1784,0,1964,
Brookings,4191,3692,0,1964,
Brown,9107,5524,0,1964,
Brule,2205,968,0,1964,
Buffalo,501,278,0,1964,
Butte,1863,1877,0,1964,
Campbell,411,1162,0,1964,
Charles Mix,3488,1625,0,1964,
Clark,1771,1511,0,1964,
Clay,2599,1802,0,1964,
Codington,5353,3593,0,1964,
Corson,1328,1034,0,1964,
Custer,1176,1142,0,1964,
Davison,4861,2789,0,1964,
Day,3235,1914,0,1964,
Deuel,1524,1317,0,1964,
Dewey,1259,981,0,1964,
Douglas,1149,1189,0,1964,
Edmunds,1708,1442,0,1964,
Fall river,1706,2026,0,1964,
Faulk,1225,974,0,1964,
Grant,2583,1854,0,1964,
Gregory,1995,1644,0,1964,
Haakon,662,795,0,1964,
Hamlin,1561,1525,0,1964,
Hand,1563,1466,0,1964,
Hanson,1232,802,0,1964,
Harding,487,489,0,1964,
Hughes,2606,2732,0,1964,
Hutchinson,2189,2884,0,1964,
Hyde,736,666,0,1964,
Jackson,480,448,0,1964,
Jerauld,999,857,0,1964,
Jones,548,415,0,1964,
Kingsbury,2005,2126,0,1964,
Lake,2988,2417,0,1964,
Lawerence,3468,3743,0,1964,
Lincoln,2836,2740,0,1964,
Lyman,1057,862,0,1964,
Marshall,2063,1183,0,1964,
McCook,2181,1756,0,1964,
McPherson,723,1891,0,1964,
Meade,2323,2140,0,1964,
Mellette,658,525,0,1964,
Miner,1679,945,0,1964,
Minnehaha,20929,16766,0,1964,
Moody,2301,1461,0,1964,
Pennington,9881,8926,0,1964,
Perkins,1255,1409,0,1964,
Potter,1260,954,0,1964,
Roberts,3567,1931,0,1964,
Sanbron,1401,912,0,1964,
Shannon,1748,557,0,1964,
Spink,3120,1953,0,1964,
Stanely,750,549,0,1964,
Sully,596,667,0,1964,
Todd,1274,723,0,1964,
Tripp,2241,1937,0,1964,
Turner,2184,2846,0,1964,
Union,2828,1727,0,1964,
Walworth,1952,1849,0,1964,
Washabaugh,348,211,0,1964,
Yankton,3747,3208,0,1964,
Ziebach,554,447,0,1964,
Aurora,1270,1267,0,1960,
Beadle,4079,5911,0,1960,
Bennett,607,779,0,1960,
Bon Homme,2052,2730,0,1960,
Brookings,2974,5710,0,1960,
Brown,7893,8037,0,1960,
Brule,1600,1403,0,1960,
Buffalo,334,294,0,1960,
Butte,1318,2496,0,1960,
Campbell,362,1330,0,1960,
Charles Mix,2754,2446,0,1960,
Clark,1406,2204,0,1960,
Clay,1878,2772,0,1960,
Codington,4304,5309,0,1960,
Corson,1093,1290,0,1960,
Custer,878,1533,0,1960,
Davison,4108,4105,0,1960,
Day,2835,2626,0,1960,
Deuel,1173,1907,0,1960,
Dewey,1044,1168,0,1960,
Douglas,541,2002,0,1960,
Edmunds,1609,1728,0,1960,
Fall river,1426,2492,0,1960,
Faulk,1043,1240,0,1960,
Grant,2114,2611,0,1960,
Gregory,1778,2063,0,1960,
Haakon,595,980,0,1960,
Hamlin,1230,2139,0,1960,
Hand,1397,1872,0,1960,
Hanson,1153,1087,0,1960,
Harding,382,676,0,1960,
Hughes,2036,3320,0,1960,
Hutchinson,1557,3948,0,1960,
Hyde,660,773,0,1960,
Jackson,366,581,0,1960,
Jerauld,863,1165,0,1960,
Jones,423,644,0,1960,
Kingsbury,1677,2887,0,1960,
Lake,2224,3520,0,1960,
Lawerence,2612,5083,0,1960,
Lincoln,1985,3553,0,1960,
Lyman,852,1166,0,1960,
Marshall,1674,1704,0,1960,
McCook,1797,2375,0,1960,
McPherson,616,2354,0,1960,
Meade,1923,2644,0,1960,
Mellette,510,774,0,1960,
Miner,1316,1377,0,1960,
Minnehaha,15152,23238,0,1960,
Moody,1918,2119,0,1960,
Pennington,7478,11364,0,1960,
Perkins,1164,1767,0,1960,
Potter,1004,1326,0,1960,
Roberts,3089,2857,0,1960,
Sanbron,1249,1254,0,1960,
Shannon,1135,655,0,1960,
Spink,2563,2738,0,1960,
Stanely,730,678,0,1960,
Sully,483,864,0,1960,
Todd,904,909,0,1960,
Tripp,1748,2466,0,1960,
Turner,1547,4120,0,1960,
Union,2331,2688,0,1960,
Walworth,1468,2406,0,1960,
Washabaugh,213,260,0,1960,
Yankton,3061,4065,0,1960,
Ziebach,512,568,0,1960,
