1,FEC_ID,STATE,STATE_ABBREVIATION,GENERAL_ELECTION_DATE,FIRST_NAME,LAST_NAME,LAST_NAME_FIRST,TOTAL_VOTES,PARTY,GENERAL_RESULTS,TOTAL_VOTES,GENERAL_PERCT,WINNER_INDICATOR
61,P60004454,Colorado,CO,11/6/2012,James,Harris,"Harris, James",,SWP,192,,0.01%,
62,P20004677,Colorado,CO,11/6/2012,Jerry,White,"White, Jerry",,SEP,189,,0.01%,
63,P20002424,Colorado,CO,11/6/2012,Randall,Terry,"Terry, Randall",,W,4,,0.00%,
65,P80003338,Connecticut,CT,11/6/2012,Barack,Obama,"Obama, Barack",,D,905083,,58.06%,W
66,P80003353,Connecticut,CT,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,634892,,40.73%,
67,P20002671,Connecticut,CT,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,12580,,0.81%,
68,P20004263,Connecticut,CT,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,IP,5487,,0.35%,
69,P20003984,Connecticut,CT,11/6/2012,Jill,Stein,"Stein, Jill",,W,863,,0.06%,
70,P20005260,Connecticut,CT,11/6/2012,Tom,Hoefling,"Hoefling, Tom",,W,25,,0.00%,
71,n/a,Connecticut,CT,11/6/2012,Gerald,Warner,"Warner, Gerald",,W,19,,0.00%,
72,P60004454,Connecticut,CT,11/6/2012,James E.,Harris,"Harris, James E.",,W,5,,0.00%,
73,n/a,Connecticut,CT,11/6/2012,Raymond,Sizemore,"Sizemore, Raymond",,W,5,,0.00%,
74,P20004651,Connecticut,CT,11/6/2012,Stephen,Durham,"Durham, Stephen",,W,1,,0.00%,
76,P80003338,Delaware,DE,11/6/2012,Barack,Obama,"Obama, Barack",,D,242584,,58.61%,W
77,P80003353,Delaware,DE,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,165484,,39.98%,
78,P20002671,Delaware,DE,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,3882,,0.94%,
79,P20003984,Delaware,DE,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,1940,,0.47%,
80,P20004685,Delaware,DE,11/6/2012,Virgil,Goode,"Goode, Virgil",,W,23,,0.01%,
81,P20005260,Delaware,DE,11/6/2012,Tom,Hoefling,"Hoefling, Tom",,W,7,,0.00%,
82,P20003208,Delaware,DE,11/6/2012,Jill,Reed,"Reed, Jill",,W,1,,0.00%,
84,P80003338,District of Columbia,DC,11/6/2012,Barack,Obama,"Obama, Barack",,D,267070,,90.91%,W
85,P80003353,District of Columbia,DC,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,21381,,7.28%,
