1,FEC_ID,STATE,STATE_ABBREVIATION,GENERAL_ELECTION_DATE,FIRST_NAME,LAST_NAME,LAST_NAME_FIRST,TOTAL_VOTES,PARTY,GENERAL_RESULTS,TOTAL_VOTES,GENERAL_PERCT,WINNER_INDICATOR
258,n/a,Maryland,MD,11/6/2012,Barbara A.,Prokopich,"Prokopich, Barbara A.",,W,2,,0.00%,
259,n/a,Maryland,MD,11/6/2012,Robert William,Dietz,"Dietz, Robert William",,W,1,,0.00%,
260,P20004172,Maryland,MD,11/6/2012,Dean,Morstad,"Morstad, Dean",,W,1,,0.00%,
261,P20004149,Maryland,MD,11/6/2012,Terrance James,O'Hara,"O'Hara, Terrance James",,W,1,,0.00%,
262,P20003836,Maryland,MD,11/6/2012,Cecil James,Roth,"Roth, Cecil James",,W,1,,0.00%,
264,P80003338,Massachusetts,MA,11/6/2012,Barack,Obama,"Obama, Barack",,D,1921290,,60.65%,W
265,P80003353,Massachusetts,MA,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,1188314,,37.51%,
266,P20002671,Massachusetts,MA,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,30920,,0.98%,
267,P20003984,Massachusetts,MA,11/6/2012,Jill,Stein,"Stein, Jill",,GR,20691,,0.65%,
268,n/a,Massachusetts,MA,11/6/2012,,All Others,All Others,,W,6552,,0.21%,
270,P80003338,Michigan,MI,11/6/2012,Barack,Obama,"Obama, Barack",,D,2564569,,54.21%,W
271,P80003353,Michigan,MI,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,2115256,,44.71%,
272,P20003984,Michigan,MI,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,21897,,0.46%,
273,P20004685,Michigan,MI,11/6/2012,"Virgil, Jr.",Goode,"Goode, Virgil, Jr.",,UST,16119,,0.34%,
274,P20002671,Michigan,MI,11/6/2012,Gary,Johnson,"Johnson, Gary",,W,7774,,0.16%,
275,P20004263,Michigan,MI,11/6/2012,Ross,Anderson,"Anderson, Ross",,NLP,5147,,0.11%,
276,P20003968,Michigan,MI,11/6/2012,Stewart,Alexander,"Alexander, Stewart",,W,89,,0.00%,
277,P20004677,Michigan,MI,11/6/2012,Jerry,White,"White, Jerry",,W,68,,0.00%,
278,P20005260,Michigan,MI,11/6/2012,Tom,Hoefling,"Hoefling, Tom",,W,42,,0.00%,
280,P80003338,Minnesota,MN,11/6/2012,Barack,Obama,"Obama, Barack",,D,1546167,,52.65%,W
281,P80003353,Minnesota,MN,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,1320225,,44.96%,
282,P20002671,Minnesota,MN,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,35098,,1.20%,
283,P20003984,Minnesota,MN,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,13023,,0.44%,
284,n/a,Minnesota,MN,11/6/2012,,Scattered,Scattered,,W,10533,,0.36%,
285,P20004685,Minnesota,MN,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,3722,,0.13%,
286,n/a,Minnesota,MN,11/6/2012,Jim,Carlson,"Carlson, Jim",,GRT,3149,,0.11%,
287,P20004263,Minnesota,MN,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,JUS,1996,,0.07%,
288,P20004172,Minnesota,MN,11/6/2012,Dean,Morstad,"Morstad, Dean",,CG,1092,,0.04%,
289,P60004454,Minnesota,MN,11/6/2012,James,Harris,"Harris, James",,SWP,1051,,0.04%,
290,P20004636,Minnesota,MN,11/6/2012,Peta,Lindsay,"Lindsay, Peta",,SLP,397,,0.01%,
291,P20002804,Minnesota,MN,11/6/2012,Roseanne,Barr,"Barr, Roseanne",,W,46,,0.00%,
292,n/a,Minnesota,MN,11/6/2012,Barbara,Prokopich,"Prokopich, Barbara",,W,35,,0.00%,
293,P20005260,Minnesota,MN,11/6/2012,Tom,Hoefling,"Hoefling, Tom",,W,14,,0.00%,
294,P20003208,Minnesota,MN,11/6/2012,Jill,Reed,"Reed, Jill",,W,8,,0.00%,
295,P20002697,Minnesota,MN,11/6/2012,Andre,Barnett,"Barnett, Andre",,W,4,,0.00%,
296,P20005245,Minnesota,MN,11/6/2012,Will,Christensen,"Christensen, Will",,W,1,,0.00%,
298,P80003353,Mississippi,MS,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,710746,,55.29%,W
299,P80003338,Mississippi,MS,11/6/2012,Barack,Obama,"Obama, Barack",,D,562949,,43.79%,
300,P20002671,Mississippi,MS,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,6676,,0.52%,
301,P20004685,Mississippi,MS,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,2609,,0.20%,
302,P20003984,Mississippi,MS,11/6/2012,Jill A.,Stein,"Stein, Jill A.",,GRE,1588,,0.12%,
303,P20005286,Mississippi,MS,11/6/2012,Barbara Dale,Washer,"Washer, Barbara Dale",,REF,1016,,0.08%,
305,P80003353,Missouri,MO,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,1482440,,53.76%,W
306,P80003338,Missouri,MO,11/6/2012,Barack,Obama,"Obama, Barack",,D,1223796,,44.38%,
307,P20002671,Missouri,MO,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,43151,,1.56%,
308,P20004685,Missouri,MO,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,7936,,0.29%,
310,P80003353,Montana,MT,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,267928,,55.35%,W
311,P80003338,Montana,MT,11/6/2012,Barack,Obama,"Obama, Barack",,D,201839,,41.70%,
312,P20002671,Montana,MT,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,14165,,2.93%,
313,P20004263,Montana,MT,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,W,59,,0.01%,
314,P20004685,Montana,MT,11/6/2012,Virgil,Goode,"Goode, Virgil",,W,39,,0.01%,
315,P20002804,Montana,MT,11/6/2012,Roseanne,Barr,"Barr, Roseanne",,W,6,,0.00%,
316,P20005260,Montana,MT,11/6/2012,Tom,Hoefling,"Hoefling, Tom",,W,5,,0.00%,
317,P20003968,Montana,MT,11/6/2012,Stewart,Alexander,"Alexander, Stewart",,W,4,,0.00%,
318,P20002697,Montana,MT,11/6/2012,Andre,Barnett,"Barnett, Andre",,W,2,,0.00%,
319,n/a,Montana,MT,11/6/2012,Alexis,Logsdon,"Logsdon, Alexis",,W,1,,0.00%,
321,P80003353,Nebraska,NE,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,475064,,59.80%,W
322,P80003338,Nebraska,NE,11/6/2012,Barack,Obama,"Obama, Barack",,D,302081,,38.03%,
323,P20002671,Nebraska,NE,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,11109,,1.40%,
324,n/a,Nebraska,NE,11/6/2012,,Scattered,Scattered,,W,3717,,0.47%,
325,P20002424,Nebraska,NE,11/6/2012,Randall A.,Terry,"Terry, Randall A.",,BP,2408,,0.30%,
327,P80003338,Nevada,NV,11/6/2012,Barack,Obama,"Obama, Barack",,D,531373,,52.36%,W
328,P80003353,Nevada,NV,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,463567,,45.68%,
329,P20002671,Nevada,NV,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,10968,,1.08%,
330,n/a,Nevada,NV,11/6/2012,,None of These Candidates,None of These Candidates,,,5770,,0.57%,
331,P20004685,Nevada,NV,11/6/2012,Virgil,Goode,"Goode, Virgil",,IAP,3240,,0.32%,
333,P80003338,New Hampshire,NH,11/6/2012,Barack,Obama,"Obama, Barack",,D,369561,,51.98%,W
334,P80003353,New Hampshire,NH,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,329918,,46.40%,
335,P20002671,New Hampshire,NH,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,8212,,1.16%,
336,P80000748,New Hampshire,NH,11/6/2012,Ron,Paul,"Paul, Ron",,W,1374,,0.19%,
337,n/a,New Hampshire,NH,11/6/2012,,Scattered,Scattered,,W,875,,0.12%,
338,P20004685,New Hampshire,NH,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,708,,0.10%,
339,P20003984,New Hampshire,NH,11/6/2012,Jill,Stein,"Stein, Jill",,W,324,,0.05%,
341,P80003338,New Jersey,NJ,11/6/2012,Barack,Obama,"Obama, Barack",,D,2125101,,58.38%,W
342,P80003353,New Jersey,NJ,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,1477568,,40.59%,
343,P20002671,New Jersey,NJ,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,21045,,0.58%,
344,P20003984,New Jersey,NJ,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,9888,,0.27%,
345,P20004685,New Jersey,NJ,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,2064,,0.06%,
346,P20004263,New Jersey,NJ,11/6/2012,Ross C. (Rocky),Anderson,"Anderson, Ross C. (Rocky)",,NJJ,1724,,0.05%,
347,P80005077,New Jersey,NJ,11/6/2012,Jeff,Boss,"Boss, Jeff",,NSA,1007,,0.03%,
348,P60004454,New Jersey,NJ,11/6/2012,James,Harris,"Harris, James",,SWP,710,,0.02%,
349,P20004693,New Jersey,NJ,11/6/2012,Merlin,Miller,"Miller, Merlin",,ATP,664,,0.02%,
350,P20004636,New Jersey,NJ,11/6/2012,Peta,Lindsay,"Lindsay, Peta",,SLP,521,,0.01%,
352,P80003338,New Mexico,NM,11/6/2012,Barack,Obama,"Obama, Barack",,D,415335,,52.99%,W
353,P80003353,New Mexico,NM,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,335788,,42.84%,
354,P20002671,New Mexico,NM,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,27788,,3.55%,
355,P20003984,New Mexico,NM,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,2691,,0.34%,
356,P20004263,New Mexico,NM,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,NMI,1174,,0.15%,
357,P20004685,New Mexico,NM,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,982,,0.13%,
359,P80003338,New York,NY,11/6/2012,Barack,Obama,"Obama, Barack",,D,4485741,,63.35%,W
360,P80003338,New York,NY,11/6/2012,Barack,Obama,"Obama, Barack",,D,"[4,337,622]",,61.26%,
361,P80003338,New York,NY,11/6/2012,Barack,Obama,"Obama, Barack",,WF,"[148,119]",,2.09%,
362,P80003353,New York,NY,11/6/2012,Mitt,Romney,"Romney, Mitt",,Combined Parties:,2490431,,35.17%,
363,P80003353,New York,NY,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,"[2,228,060]",,31.46%,
364,P80003353,New York,NY,11/6/2012,Mitt,Romney,"Romney, Mitt",,CRV,"[262,371]",,3.71%,
365,P20002671,New York,NY,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,47256,,0.67%,
366,P20003984,New York,NY,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,39982,,0.56%,
367,n/a,New York,NY,11/6/2012,,Scattered,Scattered,,W,9076,,0.13%,
368,P20004685,New York,NY,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,6274,,0.09%,
369,P20004636,New York,NY,11/6/2012,Peta,Lindsay,"Lindsay, Peta",,SLP,2050,,0.03%,
370,P20004263,New York,NY,11/6/2012,Ross C.,Anderson,"Anderson, Ross C.",,W,217,,0.00%,
371,P20004651,New York,NY,11/6/2012,Stephen,Durham,"Durham, Stephen",,W,34,,0.00%,
372,P20005260,New York,NY,11/6/2012,Tom,Hoefling,"Hoefling, Tom",,W,34,,0.00%,
373,P60004454,New York,NY,11/6/2012,James,Harris,"Harris, James",,W,27,,0.00%,
374,P20004677,New York,NY,11/6/2012,Jerry,White,"White, Jerry",,W,19,,0.00%,
375,P20003208,New York,NY,11/6/2012,Jill,Reed,"Reed, Jill",,W,12,,0.00%,
376,P20004693,New York,NY,11/6/2012,Merlin,Miller,"Miller, Merlin",,W,6,,0.00%,
378,P80003353,North Carolina,NC,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,2270395,,50.39%,W
379,P80003338,North Carolina,NC,11/6/2012,Barack,Obama,"Obama, Barack",,D,2178391,,48.35%,
380,P20002671,North Carolina,NC,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,44515,,0.99%,
381,n/a,North Carolina,NC,11/6/2012,,Scattered,Scattered,,W,11537,,0.26%,
382,P20004685,North Carolina,NC,11/6/2012,Virgil,Goode,"Goode, Virgil",,W,534,,0.01%,
384,P80003353,North Dakota,ND,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,188163,,58.32%,W
385,P80003338,North Dakota,ND,11/6/2012,Barack,Obama,"Obama, Barack",,DNL,124827,,38.69%,
386,P20002671,North Dakota,ND,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,5231,,1.62%,
387,n/a,North Dakota,ND,11/6/2012,,Scattered,Scattered,,W,1860,,0.58%,
388,P20003984,North Dakota,ND,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,1361,,0.42%,
389,P20004685,North Dakota,ND,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,1185,,0.37%,
391,P80003338,Ohio,OH,11/6/2012,Barack,Obama,"Obama, Barack",,D,2827709,,50.67%,W
392,P80003353,Ohio,OH,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,2661437,,47.69%,
393,P20002671,Ohio,OH,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,49493,,0.89%,
394,P20003984,Ohio,OH,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,18573,,0.33%,
395,P20005252,Ohio,OH,11/6/2012,Richard,Duncan,"Duncan, Richard",,IND,12502,,0.22%,
396,P20004685,Ohio,OH,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,8152,,0.15%,
397,P20003968,Ohio,OH,11/6/2012,Stewart,Alexander,"Alexander, Stewart",,SUS,2944,,0.05%,
399,P20003208,Ohio,OH,11/6/2012,Jill,Reed,"Reed, Jill",,W,14,,0.00%,
398,n/a,Ohio,OH,11/6/2012,Mike,Vargo,"Vargo, Mike",,W,13,,0.00%,
400,P20002424,Ohio,OH,11/6/2012,Randall,Terry,"Terry, Randall",,W,9,,0.00%,
401,n/a,Ohio,OH,11/6/2012,Susan,Daniels,"Daniels, Susan",,W,1,,0.00%,
402,n/a,Ohio,OH,11/6/2012,Nelson,Keyton,"Keyton, Nelson",,W,0,,0.00%,
404,P80003353,Oklahoma,OK,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,891325,,66.77%,W
405,P80003338,Oklahoma,OK,11/6/2012,Barack,Obama,"Obama, Barack",,D,443547,,33.23%,
407,P80003338,Oregon,OR,11/6/2012,Barack,Obama,"Obama, Barack",,D,970488,,54.24%,W
408,P80003353,Oregon,OR,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,754175,,42.15%,
409,P20002671,Oregon,OR,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,24089,,1.35%,
410,P20003984,Oregon,OR,11/6/2012,Jill,Stein,"Stein, Jill",,PG,19427,,1.09%,
411,n/a,Oregon,OR,11/6/2012,,Miscellaneous,Miscellaneous,,W,13275,,0.74%,
412,P20005245,Oregon,OR,11/6/2012,Will,Christensen,"Christensen, Will",,CON,4432,,0.25%,
413,P20004263,Oregon,OR,11/6/2012,Ross C. (Rocky),Anderson,"Anderson, Ross C. (Rocky)",,PRO,3384,,0.19%,
415,P80003338,Pennsylvania,PA,11/6/2012,Barack,Obama,"Obama, Barack",,D,2990274,,51.97%,W
416,P80003353,Pennsylvania,PA,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,2680434,,46.59%,
417,P20002671,Pennsylvania,PA,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,49991,,0.87%,
418,P20003984,Pennsylvania,PA,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,21341,,0.37%,
419,n/a,Pennsylvania,PA,11/6/2012,,Scattered,Scattered,,W,11219,,0.19%,
420,P20004685,Pennsylvania,PA,11/6/2012,Virgil,Goode,"Goode, Virgil",,W,383,,0.01%,
421,P20005260,Pennsylvania,PA,11/6/2012,Tom,Hoefling,"Hoefling, Tom",,W,28,,0.00%,
423,P80003338,Rhode Island,RI,11/6/2012,Barack,Obama,"Obama, Barack",,D,279677,,62.70%,W
424,P80003353,Rhode Island,RI,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,157204,,35.24%,
425,P20002671,Rhode Island,RI,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,4388,,0.98%,
426,P20003984,Rhode Island,RI,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,2421,,0.54%,
427,n/a,Rhode Island,RI,11/6/2012,,Scattered,Scattered,,W,686,,0.15%,
428,P80000748,Rhode Island,RI,11/6/2012,Ron,Paul,"Paul, Ron",,W,617,,0.14%,
429,P20004685,Rhode Island,RI,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,430,,0.10%,
430,P20004263,Rhode Island,RI,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,JUS,416,,0.09%,
431,P20004636,Rhode Island,RI,11/6/2012,Peta,Lindsay,"Lindsay, Peta",,SLP,132,,0.03%,
432,P00003392,Rhode Island,RI,11/6/2012,Hillary,Clinton,"Clinton, Hillary",,W,64,,0.01%,
433,n/a,Rhode Island,RI,11/6/2012,Mickey,Mouse,"Mouse, Mickey",,W,14,,0.00%,
435,P80003353,South Carolina,SC,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,1071645,,54.56%,W
436,P80003338,South Carolina,SC,11/6/2012,Barack,Obama,"Obama, Barack",,D,865941,,44.09%,
437,P20002671,South Carolina,SC,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,16321,,0.83%,
438,P20003984,South Carolina,SC,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,5446,,0.28%,
439,P20004685,South Carolina,SC,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,4765,,0.24%,
441,P80003353,South Dakota,SD,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,210610,,57.89%,W
442,P80003338,South Dakota,SD,11/6/2012,Barack,Obama,"Obama, Barack",,D,145039,,39.87%,
443,P20002671,South Dakota,SD,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,5795,,1.59%,
444,P20004685,South Dakota,SD,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,2371,,0.65%,
446,P80003353,Tennessee,TN,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,1462330,,59.48%,W
447,P80003338,Tennessee,TN,11/6/2012,Barack,Obama,"Obama, Barack",,D,960709,,39.08%,
448,P20002671,Tennessee,TN,11/6/2012,Gary,Johnson,"Johnson, Gary",,IND,18623,,0.76%,
449,P20003984,Tennessee,TN,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,6515,,0.26%,
450,P20004685,Tennessee,TN,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,6022,,0.24%,
451,P20004263,Tennessee,TN,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,IND,2639,,0.11%,
452,P20004693,Tennessee,TN,11/6/2012,Merlin,Miller,"Miller, Merlin",,IND,1739,,0.07%,
454,P80003353,Texas,TX,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,4569843,,57.17%,W
455,P80003338,Texas,TX,11/6/2012,Barack,Obama,"Obama, Barack",,D,3308124,,41.38%,
456,P20002671,Texas,TX,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,88580,,1.11%,
457,P20003984,Texas,TX,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,24657,,0.31%,
458,P20004685,Texas,TX,11/6/2012,Virgil,Goode,"Goode, Virgil",,W,1287,,0.02%,
459,P20004263,Texas,TX,11/6/2012,Rocky,Anderson,"Anderson, Rocky",,W,426,,0.01%,
460,P20005260,Texas,TX,11/6/2012,Tom,Hoefling,"Hoefling, Tom",,W,374,,0.00%,
461,P20004479,Texas,TX,11/6/2012,Avery,Ayers,"Ayers, Avery",,W,209,,0.00%,
462,P20003968,Texas,TX,11/6/2012,Stewart,Alexander,"Alexander, Stewart",,W,162,,0.00%,
463,n/a,Texas,TX,11/6/2012,Thaddaus,Hill,"Hill, Thaddaus",,W,102,,0.00%,
464,P20002697,Texas,TX,11/6/2012,Andre N.,Barnett,"Barnett, Andre N.",,W,87,,0.00%,
466,P80003353,Utah,UT,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,740600,,72.79%,W
467,P80003338,Utah,UT,11/6/2012,Barack,Obama,"Obama, Barack",,D,251813,,24.75%,
468,P20002671,Utah,UT,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,12572,,1.24%,
469,P20004263,Utah,UT,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,JUS,5335,,0.52%,
470,P20003984,Utah,UT,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,3817,,0.38%,
471,P20004685,Utah,UT,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,2871,,0.28%,
472,P80005572,Utah,UT,11/6/2012,Gloria,La Riva,"La Riva, Gloria",,UN,393,,0.04%,
473,P20002804,Utah,UT,11/6/2012,Roseanne,Barr,"Barr, Roseanne",,W,18,,0.00%,
474,P20003208,Utah,UT,11/6/2012,Jill,Reed,"Reed, Jill",,W,6,,0.00%,
475,P20002697,Utah,UT,11/6/2012,Andre,Barnett,"Barnett, Andre",,W,5,,0.00%,
476,P20005245,Utah,UT,11/6/2012,Will,Christensen,"Christensen, Will",,W,5,,0.00%,
477,n/a,Utah,UT,11/6/2012,Justin,Myers,"Myers, Justin",,W,2,,0.00%,
478,P20004651,Utah,UT,11/6/2012,Stephen,Durham,"Durham, Stephen",,W,1,,0.00%,
479,P20002903,Utah,UT,11/6/2012,Darrell,Hykes,"Hykes, Darrell",,W,1,,0.00%,
480,P20004172,Utah,UT,11/6/2012,Dean,Morstad,"Morstad, Dean",,W,1,,0.00%,
482,P80003338,Vermont,VT,11/6/2012,Barack,Obama,"Obama, Barack",,D,199239,,66.57%,W
483,P80003353,Vermont,VT,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,92698,,30.97%,
484,P20002671,Vermont,VT,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,3487,,1.17%,
485,P20004263,Vermont,VT,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,JUS,1128,,0.38%,
486,P80000748,Vermont,VT,11/6/2012,Ron,Paul,"Paul, Ron",,W,717,,0.24%,
487,n/a,Vermont,VT,11/6/2012,,Scattered,Scattered,,W,710,,0.24%,
488,P20004636,Vermont,VT,11/6/2012,Peta,Lindsay,"Lindsay, Peta",,SLP,695,,0.23%,
489,P20003984,Vermont,VT,11/6/2012,Jill,Stein,"Stein, Jill",,W,594,,0.20%,
490,P20004685,Vermont,VT,11/6/2012,Virgil,Goode,"Goode, Virgil",,W,13,,0.00%,
491,P20002804,Vermont,VT,11/6/2012,Roseanne,Barr,"Barr, Roseanne",,W,9,,0.00%,
493,P80003338,Virginia,VA,11/6/2012,Barack,Obama,"Obama, Barack",,D,1971820,,51.16%,W
494,P80003353,Virginia,VA,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,1822522,,47.28%,
495,P20002671,Virginia,VA,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,31216,,0.81%,
496,P20004685,Virginia,VA,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,13058,,0.34%,
497,P20003984,Virginia,VA,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,8627,,0.22%,
498,n/a,Virginia,VA,11/6/2012,,Scattered,Scattered,,W,7151,,0.19%,
499,P20004263,Virginia,VA,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,W,76,,0.00%,
500,P20003208,Virginia,VA,11/6/2012,Jill,Reed,"Reed, Jill",,W,14,,0.00%,
501,n/a,Virginia,VA,11/6/2012,Joseph A. /Darlene Herleikson,Glean,"Glean, Joseph A. / Darlene Herleikson",,W,3,,0.00%,
502,n/a,Virginia,VA,11/6/2012,Joseph A. /Jamie Johnson,Glean,"Glean, Joseph A. / Jamie Johnson",,W,1,,0.00%,
503,P20002630,Virginia,VA,11/6/2012,"Sheila ""Samm""",Tittle,"Tittle, Sheila ""Samm""",,W,1,,0.00%,
505,P80003338,Washington,WA,11/6/2012,Barack,Obama,"Obama, Barack",,D,1755396,,56.16%,W
506,P80003353,Washington,WA,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,1290670,,41.29%,
507,P20002671,Washington,WA,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,42202,,1.35%,
508,P20003984,Washington,WA,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,20928,,0.67%,
509,P20004685,Washington,WA,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,8851,,0.28%,
510,P20004263,Washington,WA,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,JUS,4946,,0.16%,
511,P20004636,Washington,WA,11/6/2012,Peta,Lindsay,"Lindsay, Peta",,SLP,1318,,0.04%,
512,P60004454,Washington,WA,11/6/2012,James,Harris,"Harris, James",,SWP,1205,,0.04%,
514,P80003353,West Virginia,WV,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,417655,,62.30%,W
515,P80003338,West Virginia,WV,11/6/2012,Barack,Obama,"Obama, Barack",,D,238269,,35.54%,
516,P20002671,West Virginia,WV,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,6302,,0.94%,
517,P20003984,West Virginia,WV,11/6/2012,Jill,Stein,"Stein, Jill",,MTP,4406,,0.66%,
518,P20002424,West Virginia,WV,11/6/2012,Randall,Terry,"Terry, Randall",,NPA,3806,,0.57%,
520,P80003338,Wisconsin,WI,11/6/2012,Barack,Obama,"Obama, Barack",,D,1620985,,52.83%,W
521,P80003353,Wisconsin,WI,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,1407966,,45.89%,
522,P20002671,Wisconsin,WI,11/6/2012,Gary,Johnson,"Johnson, Gary",,IND,20439,,0.67%,
523,P20003984,Wisconsin,WI,11/6/2012,Jill,Stein,"Stein, Jill",,IND,7665,,0.25%,
524,n/a,Wisconsin,WI,11/6/2012,,Scattered,Scattered,,W,5170,,0.17%,
525,P20004685,Wisconsin,WI,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,4930,,0.16%,
526,P20004677,Wisconsin,WI,11/6/2012,Jerry,White,"White, Jerry",,IND,553,,0.02%,
527,P80005572,Wisconsin,WI,11/6/2012,Gloria,La Riva,"La Riva, Gloria",,IND,526,,0.02%,
528,P20004263,Wisconsin,WI,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,W,112,,0.00%,
529,P20002804,Wisconsin,WI,11/6/2012,Roseanne,Barr,"Barr, Roseanne",,W,88,,0.00%,
531,P80003353,Wyoming,WY,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,170962,,68.64%,W
532,P80003338,Wyoming,WY,11/6/2012,Barack,Obama,"Obama, Barack",,D,69286,,27.82%,
533,P20002671,Wyoming,WY,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,5326,,2.14%,
534,n/a,Wyoming,WY,11/6/2012,,Scattered,Scattered,,W,2035,,0.82%,
535,P20004685,Wyoming,WY,11/6/2012,Virgil H.,Goode,"Goode, Virgil H.",,CON,1452,,0.58%,
