"","South_Dakota_Counties","Democrat","Republican","Others","Year","Voter_turnout_percent","dem_percent","rep_percent","others_percent","County_IND"
"73","Brule",965,1407,67,2008,70.12,40.6829679595278,59.3170320404722,2.82462057335582,7
"74","Buffalo",454,156,9,2008,55.65,74.4262295081967,25.5737704918033,1.47540983606557,8
"75","Butte",1306,2821,129,2008,70.02,31.645262902835,68.354737097165,3.12575720862612,9
"76","Campbell",243,591,20,2008,69.9,29.136690647482,70.863309352518,2.39808153477218,10
"77","Charles Mix",1807,2109,62,2008,69.93,46.144024514811,53.855975485189,1.5832482124617,11
"78","Clark",830,1065,45,2008,70.48,43.7994722955145,56.2005277044855,2.37467018469657,12
"79","Clay",3808,2296,138,2008,69.16,62.3853211009174,37.6146788990826,2.2608125819135,13
"80","Codington",5595,6374,216,2008,72.35,46.7457598796892,53.2542401203108,1.80466204361267,14
"81","Corson",837,535,34,2008,57.54,61.0058309037901,38.9941690962099,2.47813411078717,15
"82","Custer",1475,2909,123,2008,77.62,33.6450729927007,66.3549270072993,2.80565693430657,16
"83","Davison",3554,4731,170,2008,71.93,42.8968014484007,57.1031985515993,2.05190102595051,17
"84","Day",1785,1372,48,2008,73.9,56.5410199556541,43.4589800443459,1.52043078872347,18
"85","Deuel",1054,1088,76,2008,73.6,49.2063492063492,50.7936507936508,3.54808590102708,19
"86","Dewey",1328,659,32,2008,54.54,66.8344237544036,33.1655762455964,1.61046804227479,20
"87","Douglas",424,1293,39,2008,76.59,24.6942341292953,75.3057658707047,2.27140361094933,21
"88","Edmunds",819,1213,44,2008,73.97,40.3051181102362,59.6948818897638,2.16535433070866,22
"89","Fall river",1338,2348,123,2008,70.93,36.2995116657623,63.7004883342377,3.33695062398264,23
"90","Faulk",426,739,27,2008,72.29,36.5665236051502,63.4334763948498,2.3175965665236,24
"91","Grant",1786,1951,93,2008,73.53,47.7923468022478,52.2076531977522,2.48862724110249,25
"92","Gregory",771,1423,53,2008,75.47,35.1412944393801,64.8587055606199,2.41567912488605,26
"93","Haakon",187,939,27,2008,77.28,16.607460035524,83.392539964476,2.39786856127886,27
"94","Hamlin",1043,1661,83,2008,76.94,38.5724852071006,61.4275147928994,3.06952662721893,28
